,Tree1,Tree2,VLMC dist,threshold,min_count,max_depth,Tree1 VLMC size,Tree2 VLMC size,Tree1 GC ratio,Tree2 GC ratio
207,Otolemur garnettii,Rattus norvegicus,0.120689,0.0,50,6,24576,24576,38.013368451217595,41.14000337454406
208,Otolemur garnettii,Cavia porcellus,0.0991773,0.0,50,6,24576,24576,38.013368451217595,38.58365568505605
209,Homo sapiens subsp. Denisova,Tupaia belangeri,0.185957,0.0,50,6,24576,24576,38.559771286613994,39.90564559866216
210,Homo sapiens subsp. Denisova,Sorex araneus,0.170381,0.0,50,6,24576,24576,38.559771286613994,38.310947587616624
211,Homo sapiens subsp. Denisova,Erinaceus europaeus,0.184964,0.0,50,6,24576,24576,38.559771286613994,35.23760603795942
212,Homo sapiens subsp. Denisova,Felis catus,0.163258,0.0,50,6,24576,24576,38.559771286613994,41.29783220895761
213,Homo sapiens subsp. Denisova,Canis lupus familiaris,0.153303,0.0,50,6,24576,24576,38.559771286613994,40.749768610252154
214,Homo sapiens subsp. Denisova,Equus caballus,0.138604,0.0,50,6,24576,24576,38.559771286613994,40.82579448687693
215,Homo sapiens subsp. Denisova,Bos taurus,0.181727,0.0,50,6,24576,24576,38.559771286613994,41.42254341828584
216,Homo sapiens subsp. Denisova,Oryctolagus cuniculus,0.170509,0.0,50,6,24576,24576,38.559771286613994,42.28037946782452
217,Homo sapiens subsp. Denisova,Rattus norvegicus,0.151456,0.0,50,6,24576,24576,38.559771286613994,41.14000337454406
218,Homo sapiens subsp. Denisova,Cavia porcellus,0.131456,0.0,50,6,24576,24576,38.559771286613994,38.58365568505605
219,Tupaia belangeri,Sorex araneus,0.174732,0.0,50,6,24576,24576,39.90564559866216,38.310947587616624
220,Tupaia belangeri,Erinaceus europaeus,0.191063,0.0,50,6,24576,24576,39.90564559866216,35.23760603795942
221,Tupaia belangeri,Felis catus,0.174785,0.0,50,6,24576,24576,39.90564559866216,41.29783220895761
222,Tupaia belangeri,Canis lupus familiaris,0.166477,0.0,50,6,24576,24576,39.90564559866216,40.749768610252154
223,Tupaia belangeri,Equus caballus,0.149279,0.0,50,6,24576,24576,39.90564559866216,40.82579448687693
224,Tupaia belangeri,Bos taurus,0.191551,0.0,50,6,24576,24576,39.90564559866216,41.42254341828584
225,Tupaia belangeri,Oryctolagus cuniculus,0.179477,0.0,50,6,24576,24576,39.90564559866216,42.28037946782452
226,Tupaia belangeri,Rattus norvegicus,0.159325,0.0,50,6,24576,24576,39.90564559866216,41.14000337454406
227,Tupaia belangeri,Cavia porcellus,0.15239,0.0,50,6,24576,24576,39.90564559866216,38.58365568505605
228,Sorex araneus,Erinaceus europaeus,0.170465,0.0,50,6,24576,24576,38.310947587616624,35.23760603795942
